STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry,PRCP Measure,TAVG Measure
6,75,277302,0500000US06075,6075,San Francisco,6,121485107,479107241,"POLYGON ((-122.511983 37.771129999086256, -122.465396 37.800878999086, -122.398139 37.80562999908597, -122.385323 37.79072399908609, -122.376462 37.73855799908652, -122.356784 37.72950499908658, -122.361749 37.71500999908672, -122.389826876588 37.70833099908677, -122.50067801908301 37.70813256710466, -122.50560125134501 37.73556746432725, -122.511983 37.771129999086256))",28.295063758533665,13.517483063842791
25,25,606939,0500000US25025,25025,Suffolk,6,150855462,160479920,"POLYGON ((-71.191155 42.28305899906086, -71.156887 42.33024099906071, -71.167625 42.36007299906062, -71.117193 42.3642289990606, -71.077095 42.358696999060626, -71.064059 42.36900099906058, -71.080947 42.382377999060544, -70.9825456015879 42.42022179911244, -70.974897 42.35584299906064, -70.97589294212611 42.354339252782545, -70.9830935859472 42.34346719399375, -70.997838 42.321204999060726, -70.9930596399482 42.31289227947317, -71.041694 42.305297999060784, -71.053284 42.27750199906087, -71.093737 42.2671069990609, -71.102691 42.25988399906093, -71.111737 42.260468999060926, -71.11326 42.25892599906093, -71.109544 42.25541199906094, -71.109347 42.24798999906096, -71.126377 42.23916199906099, -71.122856 42.235224999061, -71.130771 42.22792599906103, -71.146642 42.25575499906094, -71.188167 42.28041199906086, -71.191155 42.28305899906086))",90.3193830484134,10.96616427502305
31,7,835826,0500000US31007,31007,Banner,6,1932676697,397069,"POLYGON ((-104.052825235239 41.69795385212685, -103.370391 41.69920999906284, -103.369024 41.43765499906385, -103.37762 41.39463299906402, -104.052287134121 41.39321399925743, -104.052287 41.39330699906404, -104.05263457163299 41.56427577863704, -104.052735 41.61367599906316, -104.052825235239 41.69795385212685))",26.991240261228125,8.670564102821457
50,11,1461762,0500000US50011,50011,Franklin,6,1641633748,150930318,"POLYGON ((-73.256321 44.75944399905678, -73.192787 44.90869999905677, -73.230777 44.92743699905677, -73.240323 44.95159099905676, -73.1923104490669 45.01286116200887, -73.1699238166857 45.01316118168027, -73.048386 45.014789999056774, -72.93644 45.01426699905676, -72.582371 45.01154299905677, -72.5542716162235 45.00946771971027, -72.532638 44.833345999056775, -72.578161 44.78157799905678, -72.74736 44.78616999905678, -72.786134 44.72772299905679, -72.795505 44.6921999990568, -72.851068 44.7110699990568, -72.924112 44.63305099905682, -73.038028 44.65115699905681, -73.228854 44.72286599905679, -73.256321 44.75944399905678))",71.91537836947563,7.4184498220918
51,680,1498429,0500000US51680,51680,Lynchburg,25,126842531,1428787,"POLYGON ((-79.266986 37.44786799908896, -79.185702 37.4658199990888, -79.120279 37.398186999089376, -79.085123 37.3948749990894, -79.214982 37.332999999089935, -79.257955 37.35581599908974, -79.266986 37.44786799908896))",92.7101066341574,14.726366993722747
5,99,69169,0500000US05099,5099,Nevada,6,1600192985,7254365,"POLYGON ((-93.483097 33.47607499913149, -93.471207 33.82522399912706, -93.456709 33.95683699912542, -93.419093 33.948793999125535, -93.373406 33.95706999912543, -93.264485 33.83228199912697, -93.139279 33.814819999127195, -93.10429 33.77701099912767, -93.116361 33.452908999131786, -93.22129 33.44044399913195, -93.365585 33.444458999131896, -93.483974 33.44722299913186, -93.483097 33.47607499913149))",98.31907665759086,17.729120017868006
16,65,394803,0500000US16065,16065,Madison,6,1215396379,10500827,"POLYGON ((-111.976849 43.92738499905736, -111.83759 43.8982609990574, -111.558833 43.883304999057415, -111.501232 43.92920599905737, -111.398781 43.922889999057354, -111.399765 43.621975999057774, -111.565974 43.62203699905778, -111.626043 43.62675599905778, -111.717356 43.65532599905772, -111.934357 43.76615999905757, -111.983527 43.75380599905759, -111.976849 43.92738499905736))",23.989252305929828,6.15579188676622
17,27,424215,0500000US17027,17027,Clinton,6,1227823898,75642557,"POLYGON ((-89.707024 38.65515199907947, -89.595103 38.65594799907946, -89.597321 38.743235999078834, -89.254237 38.742018999078844, -89.138393 38.73633099907889, -89.143898 38.50308799908057, -89.360248 38.51652199908047, -89.481556 38.46846499908082, -89.577521 38.483159999080705, -89.704417 38.415666999081225, -89.707024 38.65515199907947))",88.6576852343789,13.945982255770994
19,25,465202,0500000US19025,19025,Calhoun,6,1475894622,5873828,"POLYGON ((-94.914485 42.56030899906005, -94.443024 42.55884299906005, -94.443033 42.47337799906029, -94.397671 42.473299999060295, -94.397526 42.20916099906108, -94.628806 42.20939599906107, -94.858412 42.209691999061086, -94.856689 42.47399599906029, -94.914487 42.474189999060286, -94.914485 42.56030899906005))",58.7167221365637,8.498259946200232
21,129,516911,0500000US21129,21129,Lee,6,540937712,6215038,"POLYGON ((-83.90557 37.542855999088154, -83.822121 37.66557799908711, -83.7221 37.716419999086696, -83.707974 37.716462999086694, -83.616649 37.66692499908711, -83.522308 37.63851599908734, -83.579186 37.506248999088456, -83.635706 37.54001099908816, -83.742984 37.49425299908855, -83.885262 37.51768799908836, -83.90557 37.542855999088154))",110.03645193217892,14.203770415740978
22,63,558083,0500000US22063,22063,Livingston,15,1678750672,112119167,"POLYGON ((-90.985759 30.584453999173014, -90.910701 30.649384999171993, -90.567165 30.650022999171977, -90.5669 30.52612999917394, -90.546118 30.430282999175475, -90.47376 30.34524599917684, -90.485826 30.276991999177934, -90.554147 30.19562799917925, -90.592021 30.20832399917905, -90.632811 30.221408999178834, -90.694146 30.175066999179585, -90.830752 30.31862499917727, -90.891728 30.34524399917684, -90.93723 30.36656499917649, -90.991529 30.461817999174965, -90.985759 30.584453999173014))",130.15195132777086,21.688061052564336
31,97,835870,0500000US31097,31097,Johnson,6,973968228,1766531,"POLYGON ((-96.463632 40.52301299906802, -96.067012 40.523147999068016, -96.066736 40.26203799906938, -96.463667 40.26217299906938, -96.463632 40.52301299906802))",64.87204788308742,11.145134999497317
31,101,835872,0500000US31101,31101,Keith,6,2749531887,124672175,"POLYGON ((-102.055535 41.221546999064756, -102.055256 41.39516199906401, -101.98463 41.39471199906403, -101.40726 41.395415999064014, -101.269695 41.39493399906402, -101.270381 41.04739199906551, -101.249975 41.003949999065696, -102.051761 41.003889999065706, -102.055528 41.04745699906552, -102.055535 41.221546999064756))",34.55383932265942,9.854828286435511
51,775,1789074,0500000US51775,51775,Salem,25,37599554,277514,"POLYGON ((-80.12049 37.28705299909034, -80.022226 37.30833799909015, -80.033464 37.26288999909055, -80.081631 37.26595199909053, -80.12049 37.28705299909034))",92.83534579931792,14.896789950027685
46,51,1265782,0500000US46051,46051,Grant,6,1764949271,15753610,"POLYGON ((-97.226244 45.29764699905684, -97.007543 45.296865999056834, -96.992946 45.32687999905684, -96.47007760304929 45.32679964844915, -96.457781 45.30760999905684, -96.45755349848501 45.268897927775214, -96.4558401136336 44.97734524733676, -96.882345 44.97686999905677, -96.883948 45.150223999056784, -97.226281 45.15182599905678, -97.226244 45.29764699905684))",40.47750515939686,6.67574246835316
72,101,1804531,0500000US72101,72101,Morovis,13,100676181,139537,"POLYGON ((-66.463211 18.371472999434975, -66.4438 18.371026999434985, -66.395585 18.371884999434965, -66.377058 18.344245999435692, -66.365272 18.333228999435985, -66.377712 18.293975999437023, -66.384028 18.290796999437106, -66.390957 18.273391999437568, -66.455703 18.25772599943798, -66.464883 18.283239999437306, -66.463211 18.371472999434975))",123.57629877091075,25.824168682973777
5,67,66861,0500000US05067,5067,Jackson,6,1641853230,19623381,"POLYGON ((-91.58188 35.53044699910735, -91.36957 35.52636199910738, -91.36878 35.640011999106186, -91.310358 35.76617299910486, -91.232392 35.81266399910438, -91.198556 35.89002399910358, -91.138801 35.88999899910358, -91.032499 35.885069999103635, -91.036967 35.70841799910547, -91.03923 35.44471699910826, -91.039783 35.354255999109235, -91.251504 35.3575569991092, -91.252927 35.44584499910824, -91.347257 35.43910599910832, -91.584687 35.44231099910829, -91.58188 35.53044699910735))",101.11139899597758,15.998795148729457
51,670,1498428,0500000US51670,51670,Hopewell,25,26668801,1324529,"POLYGON ((-77.334549 37.3124679990901, -77.322813 37.30879199909015, -77.315456 37.30881999909015, -77.30571 37.312333999090114, -77.297739 37.312935999090115, -77.29627 37.30916999909015, -77.290628 37.313251999090106, -77.287284 37.31685199909008, -77.284019 37.31301199909012, -77.273379 37.31611599909009, -77.253234 37.29566799909026, -77.260195 37.28271299909038, -77.278336 37.28037599909039, -77.31081 37.26145099909056, -77.328291 37.271747999090465, -77.334549 37.3124679990901))",91.70961088365212,15.442384902417809
